Countries,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active,Serious_Critical,Tot_Cases/1M pop
India,"10,791,123",0,"154,742 ",0,"10,479,508",0,"156,873","8,944"
Brazil,"9,339,921",0,"227,592 ",0,"8,236,864",0,"875,465","8,318"
Russia,"3,901,204",0,"74,684 ",0,"3,365,367",0,"461,153","2,300"
UK,"3,871,825",0,"109,335 ",0,"1,804,913",0,"1,957,577","3,638"
France,"3,251,160",0,"77,595 ",0,"228,472",0,"2,945,093","3,277"
Spain,"2,913,389",0,"60,370 ",0,N/A,N/A,N/A,"4,836"
Italy,"2,583,790",0,"89,820 ",0,"2,059,248",0,"434,722","2,145"
Turkey,"2,501,079",0,"26,354 ",0,"2,387,384",0,"87,341","1,523"
Germany,"2,252,489",0,"60,212 ",0,"1,973,200",0,"219,077","4,348"
Colombia,"2,125,622",0,"54,877 ",0,"1,988,958",0,"81,787","3,482"
Argentina,"1,952,744",0,"48,539 ",0,"1,745,208",0,"158,997","3,571"
Mexico,"1,886,245","+12,153","161,240 ","+1,707","1,450,237","+13,755","274,768","5,692"
Poland,"1,527,016",0,"37,897 ",0,"1,283,698",0,"205,421","1,369"
South Africa,"1,463,016",0,"45,344 ",0,"1,323,680",0,"93,992",546
Iran,"1,438,286",0,"58,189 ",0,"1,229,391",0,"150,706","3,838"
Ukraine,"1,227,164",0,"23,089 ",0,"1,045,473",0,"158,602",177
Peru,"1,158,337",0,"41,538 ",0,"1,069,129",0,"47,670","1,961"
Indonesia,"1,111,671",0,"30,770 ",0,"905,665",0,"175,236",0
Czechia,"1,003,657",0,"16,683 ",0,"893,931",0,"93,043","1,002"
Netherlands,"989,237",0,"14,169 ",0,N/A,N/A,N/A,613
Canada,"789,651",0,"20,355 ",0,"721,075",0,"48,221",760
Portugal,"740,944",0,"13,257 ",0,"563,174",0,"164,513",877
Chile,"736,645",0,"18,576 ",0,"694,960",0,"23,109","1,484"
Romania,"735,484",0,"18,600 ",0,"681,271",0,"35,613","1,006"
Belgium,"713,271",0,"21,173 ",0,"49,112",0,"642,986",315
Israel,"668,874",0,"4,948 ",0,"589,311",0,"74,615","1,108"
Iraq,"623,072",0,"13,079 ",0,"595,869",0,"14,124",183
Sweden,"580,916",0,"11,939 ",0,N/A,N/A,N/A,240
Pakistan,"550,540","+1,508","11,833 ",+31,"505,818","+1,772","32,889","1,971"
Bangladesh,"536,545",0,"8,162 ",0,"481,306",0,"47,077",0
Philippines,"530,118",0,"10,942 ",0,"487,721",0,"31,455",727
Switzerland,"528,524",0,"9,530 ",0,"317,600",0,"201,394",267
Morocco,"473,047",0,"8,323 ",0,"451,780",0,"12,944",386
Austria,"418,283",0,"7,902 ",0,"396,709",0,"13,672",306
Serbia,"400,837",0,"4,071 ",0,"31,536",0,"365,230",153
Japan,"393,836",0,"5,912 ",0,"344,137",0,"43,787",897
Hungary,"370,336",0,"12,739 ",0,"272,284",0,"85,313",269
Saudi Arabia,"368,945",0,"6,386 ",0,"360,400",0,"2,159",379
Jordan,"330,474",0,"4,344 ",0,"317,218",0,"8,912",109
Panama,"323,382",0,"5,366 ",0,"283,298",0,"34,718",242
UAE,"313,626",0,878 ,0,"289,276",0,"23,472",0
Lebanon,"309,162",0,"3,315 ",0,"188,824",0,"117,023",940
Nepal,"271,431",0,"2,031 ",0,"267,065",0,"2,335",0
Georgia,"259,897",0,"3,221 ",0,"251,077",0,"5,599",0
Slovakia,"254,826",0,"4,889 ",0,"226,471",0,"23,466",554
Ecuador,"252,390",0,"14,949 ",0,"209,814",0,"27,627",502
Belarus,"251,705",0,"1,746 ",0,"239,191",0,"10,768",0
Croatia,"233,637",0,"5,088 ",0,"225,623",0,"2,926",99
Azerbaijan,"230,617",0,"3,145 ",0,"224,168",0,"3,304",0
Malaysia,"226,912",0,809 ,0,"177,794",0,"48,309",307
